Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-06-13,1.1478615198888453,1.179047611265413,1.1186868104821448,1.1402158737182617,1478400,0.0,0.0
2002-06-14,1.1166749188655727,1.174822790452316,1.062551730412929,1.1571170091629028,2867200,0.0,0.0
2002-06-17,1.1669757986600675,1.177035934855413,1.137197804732175,1.138002634048462,1472000,0.0,0.0
2002-06-18,1.1217049569835849,1.1595310725003307,1.1160713079661142,1.1559094190597534,982400,0.0,0.0
2002-06-19,1.0774404381581018,1.1249242738882983,1.0714043742565567,1.1166746616363525,1084800,0.0,0.0
2002-06-20,1.1180835575300139,1.120095630316687,1.0689901328261262,1.0786478519439697,1459200,0.0,0.0
2002-06-21,1.0744225137691257,1.1013836802720287,1.053698889233177,1.070197582244873,1680000,0.0,0.0
2002-06-24,1.0543019802710905,1.0623500407047228,0.9782473217934629,1.0341817140579224,4377600,0.0,0.0
2002-06-25,1.0460528727968363,1.0460528727968363,0.9961546269697196,1.0128540992736816,4947200,0.0,0.0
2002-06-26,0.9657730322620375,0.975833168014767,0.9365989302395517,0.9547072052955627,3363200,0.0,0.0
2002-06-27,0.9929352776071672,1.015872363887645,0.9750278730370331,0.9959529638290405,2032000,0.0,0.0
2002-06-28,1.0180853612214253,1.0601371011997525,1.0180853612214253,1.0301575660705566,2352000,0.0,0.0
2002-07-01,1.016073297597726,1.0309623262248075,0.9858929026195757,1.0048059225082397,2144000,0.0,0.0
2002-07-02,1.005812425535622,1.0714044581036222,0.9818689531626065,1.048265814781189,3379200,0.0,0.0
2002-07-03,1.0060133887272253,1.0541011234388717,1.0060133887272253,1.02613365650177,2764800,0.0,0.0
2002-07-05,1.0577229420001102,1.0973595932198839,1.057320527371813,1.0764344930648804,960000,0.0,0.0
2002-07-08,1.0941400692103262,1.1062121979176915,1.076031799396556,1.0915247201919556,3520000,0.0,0.0
2002-07-09,1.0955487074915164,1.1196930398697207,1.0718067896074328,1.1076208353042603,4240000,0.0,0.0
2002-07-10,1.0977618299845275,1.132570190799629,1.0889088631018646,1.105407476425171,2364800,0.0,0.0
2002-07-11,1.1124498380277978,1.1339782096022757,1.0683860991390397,1.128948450088501,3388800,0.0,0.0
2002-07-12,1.0995730415576526,1.1468553361244311,1.0979633831919544,1.144843339920044,2579200,0.0,0.0
2002-07-15,1.126735039807241,1.126735039807241,1.0782455026394369,1.0965546369552612,1827200,0.0,0.0
2002-07-16,1.0824702546184317,1.141020530410688,1.0824702546184317,1.0909208059310913,3126400,0.0,0.0
2002-07-17,1.0999750997650546,1.1267347020156755,1.0925302403539432,1.1048039197921753,380800,0.0,0.0
2002-07-18,1.0917254177224114,1.1166745771819948,1.0563137892262113,1.0567162036895752,1881600,0.0,0.0
2002-07-19,1.0486681779209794,1.061142797335571,0.9808632141736227,0.9929354190826416,3465600,0.0,0.0
2002-07-22,0.9838812560375624,1.0110438974640799,0.9758331171537548,0.996557354927063,2931200,0.0,0.0
2002-07-23,1.0146656826237084,1.035188370336159,1.0019895821059206,1.0263354778289795,2656000,0.0,0.0
2002-07-24,0.9899172502056701,1.0307616787280098,0.9657729120537786,1.0160735845565796,1430400,0.0,0.0
2002-07-25,1.025932625483656,1.0361936195750507,0.9969593955427308,0.9991723299026489,3449600,0.0,0.0
2002-07-26,0.986094261679935,1.0269380566278838,0.9858927090939377,0.9957519769668579,1619200,0.0,0.0
2002-07-29,1.0058128198202174,1.0512846044652067,0.9939415482941586,1.039413332939148,2524800,0.0,0.0
2002-07-30,1.0062147275292408,1.0543018379982598,1.006013174901884,1.0512840747833252,1321600,0.0,0.0
2002-07-31,1.0512842353867033,1.0563139950187461,1.0162750145333228,1.0361937284469604,2012800,0.0,0.0
2002-08-01,1.0317672234776838,1.0317672234776838,1.001586824256587,1.0144637823104858,1507200,0.0,0.0
2002-08-02,1.024121790602004,1.0935370456090556,1.0122511350469507,1.074623942375183,3910400,0.0,0.0
2002-08-05,1.0663738401192395,1.0663738401192395,1.008025052128614,1.0281453132629395,3734400,0.0,0.0
2002-08-06,1.0412242411707908,1.0812633037567139,1.028145728440319,1.0812633037567139,1014400,0.0,0.0
2002-08-07,1.0625518464045096,1.0812633975682053,1.0474613361399516,1.0750263929367065,2451200,0.0,0.0
2002-08-08,1.0412238060210104,1.0689897874853727,1.0412238060210104,1.0663738250732422,5059200,0.0,0.0
